name,phone,whatsapp,address,website,profile_url
01 Wealthy Heirs Realty,08087807211,08135247113,"Omoba Olukolu Street Igbo Efon 16b Agungi Lekki, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/01-wealthy-heirs-realty-208355
09053303624,09053303624,09053303624,"Infinity Estate Addo, Eti Osa, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/09053303624-233713
100% Bam Property,08024929320,08024929320,"Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/100-bam-property-86940
100% Properties,"08106081711, 08024763505",08106081711,"Mb 26 Hse 3 Ndubuisi Kanu Street Abraham Adesanya., Lekki, Ikoyi, Victoria Island, Ajah., Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/100-properties-235427
1049 Metro Asset Limited,08088106096,08088106096,"26, Akin Leigh Crescent Lekki, Eti Osa, Lagos, Nigeria",http://www.metroasset.com.ng,https://nigeriapropertycentre.com/agents/1049-metro-asset-limited-235712
11th Real Estates,"08183000025, 08183000025",08183000025,"21a, Hunponu Wusu Street, Lekki Phase 1, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/11th-real-estates-199590
121axis Realty,08083784677,2348083784677,"House 8b, Rd 13, Ikota Villa Estate, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/121axis-realty-241824
12 Pearls Ventures,"08056378528, 07041118876",+2348056378528,"203 Igbosere Road, Lagos Island , Lagos, Nigeria",https://12pearls.estateagentsng.com,https://nigeriapropertycentre.com/agents/12-pearls-ventures-1829
12 Street Property,"07066939796, +2347088065738, +2347044224375",+2347066939796,"Dream World Africana Orchid Road, Eti-osa, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/12-street-property-220135
12th Stone Realty,07035025260,+2347035025260,"Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/12th-stone-realty-34822
13realty Limited,"08103312272, 07019949185",07019949185,"22 Idowu Taylor Victoria Island, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/13realty-limited-199070
13 Realty Limited,"08033039906, 08033039906, 07035900200",08033039906,"22b Idowu Taylor Street, By Engineering Close, Victoria Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/13-realty-limited-189753
13 Realty Limited,"08025207381, 08023291035, 08165070951, 31",08025207381,"22b Idowu Taylor Street Victoria Island Lagos, Vi, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/13-realty-limited-222469
1511 Homes,08160919195,08160919195,"8 Providence Street Lekki Phase 1, Nigeria",,https://nigeriapropertycentre.com/agents/1511-homes-220374
17 Three Digital Realtors,09067442944,+2349067442944,"No 14b, Kasumu Street, Shangisha, Kosofe, Magodo, Lagos, Nigeria",https://17threedigitalrealtors.estateagentsng.com,https://nigeriapropertycentre.com/agents/17-three-digital-realtors-33158
1a1m Nig Ltd,"09039199769, 09151587834",09039199769,"Opic Estate Isheri North, Opic Estate, Lagos State, Nigeria",,https://nigeriapropertycentre.com/agents/1a1m-nig-ltd-43196
1digital Agency,"08061330319, 07053360091",08061330319,"Victoria Island Lagos, Victoria Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/1digital-agency-41502
1iwuno Properties Nationwide,+2347034892532,+2347034892532,"63, Wosilatu Street, Surulere, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/1iwuno-properties-nationwide-222075
1st & Central Realty Limited,07066837452,07066837452,"Plot 13, Taye Olowu Crescent,, Lekki Phase 1, Lagos, Nigeria",https://1standcentralrealty.estateagentsng.com,https://nigeriapropertycentre.com/agents/1st-central-realty-limited-235200
1st Choice Properties,"08036789600, +447932809205, 07015224847",08036789600,"Plot 3 Blk 1 J. Otunba Jobi Fele Way, Alausa Cbd Ikeja , Lagos, Lagos, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/1st-choice-properties-199374
1st Choice Properties,"09066429859, 09048909397, 08105206305",09066429859,"Otunba Jobi Fele Way, Alausa Cda Ikeja, Lagos State, Nigeria",http://www.1stchoicepropertiea.com.ng,https://nigeriapropertycentre.com/agents/1st-choice-properties-239692
1st Choice Properties,"8147345581, 8147345581",2348147345581,"Novel House, Plot 3 Block J Otunba Jobi Fele Way, Alausa Cda, Ikeja - Lagos, Nigerian, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/1st-choice-properties-239691
1st Property Hub,"08122761391, 08034253047, 09075428145",23408122761391,"4,ikale Street, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/1st-property-hub-208938
1st Shelters,"08061174561, 08172009083",08061174561,"Plot 1115 Sauka Kehuta, New Site Federal Housing Lugbe, Fct, Abuja, Abuja, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/1st-shelters-207301
1st Star Properties Nigeria,"07016640999, 07026283717, 09153298863",2347016640999,"Suite A3 474 Eastline Shopping Complex, Abraham Adesanya Estate Roundabout Lekki Ajah Lagos, Ajah, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/1st-star-properties-nigeria-19329
1st Step Properties,"08080189990, 08168062422",+2348168062422,"P 19 All Saints Community Sangotendo, Thera Annex, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/1st-step-properties-204892
1st Step Properties,"08080189990, 08080189990, 08168062422, 08102980619",+2348080189990,"P 13 All Saints Community Sangotedo, Thera Annex Estate, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/1st-step-properties-207200
20s Homes,"07068418494, 07062628377",+2347062628377,"49 Babatope Bajide Street Lekk1, Lagos, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/20s-homes-220834
20s Homes Ltd,"09018094939, 09061408631, 09018094939, 09061408631",09018094939,"21 Ibiyinka Salvador Street Lekki 1, Lekki, Lagos, Nigeria",https://20shomesltd.estateagentsng.com,https://nigeriapropertycentre.com/agents/20s-homes-ltd-153795
21stcenturyrealtors,07083315897,+2347083315897,"Beto Building, Abijo Gra, Lagos, Nigeria",https://twentyfirstcenturyrealtor.blogspot.com,https://nigeriapropertycentre.com/agents/21stcenturyrealtors-129589
21stlane Empire Limited,+2347034161133,+2347034161133,Lagos,https://21stlaneempire.com/,https://nigeriapropertycentre.com/agents/21stlane-empire-limited-192036
21strealty,"07061331197, 09017395160, 08105454429",07061331197,"Ikota Shopping Mall Lekki, Lagos, Nigeria, Lekki Phase 1, Lagos, Nigeria",http://www.naldland.com,https://nigeriapropertycentre.com/agents/21strealty-194445
2303 Realtor Services,"08108988547, 07019799241",+2348108988547,"Victoria Garden Estate, Etiosa, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/2303-realtor-services-231067
24/7 Global Properties Ltd,08091895419,+2348091895419,"Kola Iyaomolere Street,ogudu, Ogudu, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/247-global-properties-ltd-240081
247online Services,"08065410991, 08065410991, 09037726211",08065410991,"Km 27,lekki Epe Express Way., Chisco Bustop,lekki, Lagos State, Nigeria",,https://nigeriapropertycentre.com/agents/247online-services-141680
247properties,09036441786,09036441786,"Kalgary Close Ikota, Ikota, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/247properties-177887
247propertyng,+2349121351068,+2349121351068,"Royal Place Estate, Awoyaya, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/247propertyng-233687
247realty,"08115419857, 08164308931",+2348115419857,"14 Port Novo Street, Aminu Kano Crescent, Abuja, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/247realty-217501
24comforthomes,08169121092,,"24, Bolaji Banwo Street Aguda Surulere,, Surulere Lagos, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/24comforthomes-200865
24crystal Limited,+2348039510381,+2348039510381,"10e Plaza, Plot 484, Utako District, Utako, Fct, Nigeria",https://twentyfourcrystallimited.estateagentsng.com,https://nigeriapropertycentre.com/agents/24crystal-limited-237321
24 Crystal (support Services),"08039510381, 07057328216",+2348039510381,"Ajose Adeogun Street, Utako, Fct, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/24-crystal-support-services-235875
