name,phone,whatsapp,address,website,profile_url
01 Wealthy Heirs Realty,08087807211,08135247113,"Omoba Olukolu Street Igbo Efon 16b Agungi Lekki, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/01-wealthy-heirs-realty-208355
09053303624,09053303624,09053303624,"Infinity Estate Addo, Eti Osa, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/09053303624-233713
100% Bam Property,08024929320,08024929320,"Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/100-bam-property-86940
100% Properties,"08106081711, 08024763505",08106081711,"Mb 26 Hse 3 Ndubuisi Kanu Street Abraham Adesanya., Lekki, Ikoyi, Victoria Island, Ajah., Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/100-properties-235427
1049 Metro Asset Limited,08088106096,08088106096,"26, Akin Leigh Crescent Lekki, Eti Osa, Lagos, Nigeria",http://www.metroasset.com.ng,https://nigeriapropertycentre.com/agents/1049-metro-asset-limited-235712
11th Real Estates,"08183000025, 08183000025",08183000025,"21a, Hunponu Wusu Street, Lekki Phase 1, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/11th-real-estates-199590
121axis Realty,08083784677,2348083784677,"House 8b, Rd 13, Ikota Villa Estate, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/121axis-realty-241824
12 Pearls Ventures,"08056378528, 07041118876",+2348056378528,"203 Igbosere Road, Lagos Island , Lagos, Nigeria",https://12pearls.estateagentsng.com,https://nigeriapropertycentre.com/agents/12-pearls-ventures-1829
12 Street Property,"07066939796, +2347088065738, +2347044224375",+2347066939796,"Dream World Africana Orchid Road, Eti-osa, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/12-street-property-220135
12th Stone Realty,07035025260,+2347035025260,"Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/12th-stone-realty-34822
13realty Limited,"08103312272, 07019949185",07019949185,"22 Idowu Taylor Victoria Island, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/13realty-limited-199070
13 Realty Limited,"08033039906, 08033039906, 07035900200",08033039906,"22b Idowu Taylor Street, By Engineering Close, Victoria Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/13-realty-limited-189753
13 Realty Limited,"08025207381, 08023291035, 08165070951, 31",08025207381,"22b Idowu Taylor Street Victoria Island Lagos, Vi, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/13-realty-limited-222469
1511 Homes,08160919195,08160919195,"8 Providence Street Lekki Phase 1, Nigeria",,https://nigeriapropertycentre.com/agents/1511-homes-220374
17 Three Digital Realtors,09067442944,+2349067442944,"No 14b, Kasumu Street, Shangisha, Kosofe, Magodo, Lagos, Nigeria",https://17threedigitalrealtors.estateagentsng.com,https://nigeriapropertycentre.com/agents/17-three-digital-realtors-33158
1a1m Nig Ltd,"09039199769, 09151587834",09039199769,"Opic Estate Isheri North, Opic Estate, Lagos State, Nigeria",,https://nigeriapropertycentre.com/agents/1a1m-nig-ltd-43196
1digital Agency,"08061330319, 07053360091",08061330319,"Victoria Island Lagos, Victoria Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/1digital-agency-41502
1iwuno Properties Nationwide,+2347034892532,+2347034892532,"63, Wosilatu Street, Surulere, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/1iwuno-properties-nationwide-222075
1st & Central Realty Limited,07066837452,07066837452,"Plot 13, Taye Olowu Crescent,, Lekki Phase 1, Lagos, Nigeria",https://1standcentralrealty.estateagentsng.com,https://nigeriapropertycentre.com/agents/1st-central-realty-limited-235200
1st Choice Properties,"08036789600, +447932809205, 07015224847",08036789600,"Plot 3 Blk 1 J. Otunba Jobi Fele Way, Alausa Cbd Ikeja , Lagos, Lagos, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/1st-choice-properties-199374
